CustomerID,Tenure,PhoneService_Numeric,Contract_Numeric,PaymentMethod_Numeric,MonthlyCharges,TotalCharges,Churn_Numeric,MonthlyChargesPerTenure,LogTotalCharges
7590-VHVEG,1,0,0,0,29.85,29.85,0,29.85,3.396184839838611
5575-GNVDE,34,1,1,1,56.95,1889.5,0,1.675,7.544067522789543
3668-QPYBK,2,1,0,1,53.85,108.15,1,26.925,4.683519152399068
7795-CFOCW,45,0,1,2,42.3,1840.75,0,0.94,7.517928376248826
9237-HQITU,2,1,0,0,70.7,151.65,1,35.35,5.02157523413459
9305-CDSKC,8,1,0,0,99.65,820.5,1,12.45625,6.709913910530146
1452-KIOVK,22,1,0,3,89.1,1949.4,0,4.05,7.57527691190311
6713-OKOMC,10,0,0,1,29.75,301.9,0,2.975,5.710095836712793
7892-POOKP,28,1,0,0,104.8,3046.05,1,3.742857142857143,8.021600948290835
6388-TABGU,62,1,1,2,56.15,3487.95,0,0.9056451612903226,8.157069450063739
9763-GRSKD,13,1,0,1,49.95,587.45,0,3.8423076923076924,6.375791136013581
7469-LKBCI,16,1,2,3,18.95,326.8,0,1.184375,5.789348362985848
8091-TTVAX,58,1,1,3,100.35,5681.1,0,1.7301724137931034,8.64490015493697
0280-XJGEX,49,1,0,2,103.7,5036.3,1,2.1163265306122447,8.524426964478117
5129-JLPIS,25,1,0,0,105.5,2686.05,0,4.22,7.895826991950878
3655-SNQYZ,69,1,2,3,113.25,7895.15,0,1.641304347826087,8.974003925875945
8191-XWSZG,52,1,1,1,20.65,1022.95,0,0.3971153846153846,6.930445888901835
9959-WOFKT,71,1,2,2,106.7,7382.25,0,1.5028169014084507,8.90683374917743
4190-MFLUW,10,1,0,3,55.2,528.35,1,5.5200000000000005,6.26975894288704
4183-MYFRB,21,1,0,0,90.05,1862.9,0,4.288095238095238,7.529889692295663
8779-QRDMV,1,0,0,0,39.65,39.65,1,39.65,3.680090948080857
1680-VDCWW,12,1,1,2,19.8,202.25,0,1.6500000000000001,5.309504555938601
1066-JKSGK,1,1,0,1,20.15,20.15,1,20.15,3.0032042883926917
3638-WEABW,58,1,2,3,59.9,3505.1,0,1.032758620689655,8.16197432973217
6322-HRPFA,49,1,0,3,59.6,2970.3,0,1.2163265306122448,7.996418236796579
6865-JZNKO,30,1,0,2,55.3,1530.6,0,1.8433333333333333,7.3334150943758205
6467-CHFZW,47,1,0,0,99.35,4749.15,1,2.1138297872340424,8.465720933647274
8665-UTDHZ,1,0,0,0,30.2,30.2,1,30.2,3.407841924380824
5248-YGIJN,72,1,2,3,90.25,6369.45,0,1.2534722222222223,8.759268402609305
8773-HHUOZ,17,1,0,1,64.7,1093.1,1,3.8058823529411767,6.996772975299789
3841-NFECX,71,1,2,3,96.35,6766.95,0,1.3570422535211266,8.819805747406347
4929-XIHVW,2,1,0,3,95.5,181.65,0,47.75,5.202081758667211
6827-IEAUQ,27,1,1,1,66.15,1874.45,0,2.45,7.536070562040541
7310-EGVHZ,1,1,0,2,20.2,20.2,0,20.2,3.005682604407159
3413-BMNZE,1,1,0,2,45.25,45.25,0,45.25,3.8122026701459353
6234-RAAPL,72,1,2,2,99.9,7251.7,0,1.3875000000000002,8.888991203120556
6047-YHPVI,5,1,0,0,69.7,316.9,1,13.940000000000001,5.758586266696875
6572-ADKRS,46,1,0,3,74.8,3548.3,0,1.626086956521739,8.174223894533617
5380-WJKOV,34,1,0,0,106.35,3549.25,1,3.1279411764705882,8.174491592543683
8168-UQWWF,11,1,0,2,97.85,1105.4,1,8.895454545454545,7.007962539399163
8865-TNMNX,10,1,1,1,49.55,475.7,0,4.955,6.164787403438236
9489-DEDVP,70,1,2,3,69.2,4872.35,0,0.9885714285714287,8.49133164588989
9867-JCZSP,17,1,1,1,20.75,418.25,0,1.2205882352941178,6.036079339866934
4671-VJLCL,63,1,2,3,79.85,4861.45,0,1.2674603174603174,8.489092026305327
4080-IIARD,13,1,0,0,76.2,981.45,0,5.861538461538462,6.889031069983857
3714-NTNFO,49,1,0,0,84.5,3906.7,0,1.7244897959183674,8.270448306849701
5948-UJZLF,2,1,0,1,49.25,97.0,0,24.625,4.574710978503383
7760-OYPDY,2,1,0,0,80.65,144.15,1,40.325,4.970854424084411
7639-LIAYI,52,1,2,3,79.75,4217.8,0,1.5336538461538463,8.347068944077664
2954-PIBKO,69,1,2,3,64.15,4254.1,0,0.9297101449275363,8.35563850277115
8012-SOUDQ,43,1,0,0,90.25,3838.75,0,2.0988372093023258,8.252902071755033
9420-LOJKX,15,1,0,3,99.1,1426.4,1,6.6066666666666665,7.26290906654893
6575-SUVOI,25,1,0,3,69.5,1752.65,0,2.78,7.4688842072573705
7495-OOKFY,8,1,0,3,80.65,633.3,1,10.08125,6.450944243522384
4667-QONEA,60,1,1,3,74.85,4456.35,0,1.2474999999999998,8.402085324303531
1658-BYGOY,18,1,0,0,95.45,1752.55,1,5.302777777777778,7.468827149172224
8769-KKTPH,63,1,1,3,99.65,6311.2,0,1.581746031746032,8.75008111178088
5067-XJQFU,66,1,1,0,108.45,7076.35,0,1.6431818181818183,8.864513517029854
3957-SQXML,34,1,2,3,24.95,894.3,0,0.7338235294117647,6.796041289352136
5954-BDFSG,72,1,2,3,107.5,7853.7,0,1.4930555555555556,8.968740037311406
0434-CSFON,47,1,0,0,100.5,4707.1,0,2.1382978723404253,8.456827286129794
1215-FIGMP,60,1,0,2,89.9,5450.7,0,1.4983333333333335,8.603499319776505
0526-SXDJP,72,0,2,2,42.1,2962.0,0,0.5847222222222223,7.993619994827744
0557-ASKVU,18,1,1,3,54.4,957.1,0,3.022222222222222,6.863907879201861
5698-BQJOH,9,1,0,0,94.4,857.25,1,10.488888888888889,6.7537295913430295
5122-CYFXA,3,1,0,0,75.3,244.1,0,25.099999999999998,5.497577977398914
8627-ZYGSZ,47,1,1,0,78.9,3650.35,0,1.6787234042553192,8.202578332390305
3410-YOQBQ,31,1,2,1,79.2,2497.2,0,2.5548387096774197,7.822925383187589
3170-NMYVV,50,1,2,2,20.15,930.9,0,0.40299999999999997,6.8361518601224445
7410-OIEDU,10,1,0,1,79.85,887.35,0,7.984999999999999,6.788239492980574
2273-QCKXA,1,1,0,1,49.05,49.05,0,49.05,3.892840186011372
0731-EBJQB,52,1,1,0,20.4,1090.65,0,0.3923076923076923,6.994529127764175
1891-QRQSA,64,1,2,2,111.6,7099.0,0,1.74375,8.867709208039386
8028-PNXHQ,62,1,2,2,24.25,1424.6,0,0.3911290322580645,7.261646351544253
5630-AHZIL,3,1,0,2,64.5,177.4,0,21.5,5.178407069875479
2673-CXQEU,56,1,1,0,110.5,6139.5,0,1.9732142857142858,8.722498584600567
6416-JNVRK,46,1,1,3,55.65,2688.85,0,1.2097826086956522,7.896868871894053
5590-ZSKRV,8,1,0,1,54.65,482.25,0,6.83125,6.178462651785838
0191-ZHSKZ,30,1,0,0,74.75,2111.3,0,2.4916666666666667,7.655059150494037
3887-PBQAO,45,1,1,3,25.9,1216.6,0,0.5755555555555555,7.103815361886605
5919-TMRGD,1,1,0,0,79.35,79.35,1,79.35,4.373868446972418
8108-UXRQN,11,0,0,0,50.55,565.35,0,4.595454545454545,6.337445008381255
9191-MYQKX,7,1,0,2,75.15,496.9,1,10.735714285714286,6.208388798608275
9919-YLNNG,42,1,0,2,103.8,4327.5,0,2.4714285714285715,8.372745287050364
0318-ZOPWS,49,1,2,2,20.15,973.35,0,0.41122448979591836,6.880743729735287
4445-ZJNMU,9,1,0,3,99.3,918.75,0,11.033333333333333,6.823014050527046
4808-YNLEU,35,1,1,2,62.15,2215.45,0,1.7757142857142856,7.703210822115863
1862-QRWPE,48,1,2,2,20.65,1057.0,0,0.4302083333333333,6.963189985870238
2796-NNUFI,46,1,2,1,19.95,927.1,0,0.43369565217391304,6.832061434612937
3016-KSVCP,29,0,0,1,33.75,1009.25,0,1.1637931034482758,6.9169627597330505
4767-HZZHQ,30,1,0,2,82.05,2570.2,0,2.735,7.851738995873041
2424-WVHPL,1,1,0,0,74.7,74.7,0,74.7,4.3134800921387715
7233-PAHHL,66,1,2,1,84.0,5714.25,0,1.2727272727272727,8.650718334021228
6067-NGCEU,65,1,0,3,111.05,7107.0,0,1.7084615384615385,8.868835492826895
9848-JQJTX,72,1,2,2,100.9,7459.05,0,1.401388888888889,8.917183339244133
8637-XJIVR,12,1,0,0,78.95,927.35,1,6.579166666666667,6.832331056335296
9803-FTJCG,71,1,1,3,66.85,4748.7,0,0.9415492957746479,8.465626175359802
0278-YXOOG,5,1,0,1,21.05,113.85,1,4.21,4.734881792509748
3212-KXOCR,52,1,2,2,21.0,1107.2,0,0.40384615384615385,7.009589584863405
4598-XLKNJ,25,1,0,0,98.5,2514.5,1,3.94,7.82982925561202
6380-ARCEH,1,1,0,1,20.2,20.2,0,20.2,3.005682604407159
3679-XASPY,1,1,0,0,19.45,19.45,0,19.45,2.9678470700644555
7123-WQUHX,38,1,1,2,95.0,3605.6,0,2.5,8.190243471376439
5386-THSLQ,66,0,1,2,45.55,3027.25,0,0.6901515151515151,8.015409895634475
3192-NQECA,68,1,2,2,110.0,7611.85,1,1.6176470588235294,8.93746152249408
6180-YBIQI,5,0,0,1,24.3,100.2,0,4.86,4.607168188650764
6728-DKUCO,72,1,1,0,104.15,7303.05,0,1.4465277777777779,8.89604734809811
9750-BOOHV,32,0,1,1,30.15,927.65,0,0.9421875,6.8326545064728865
8597-CWYHH,43,1,1,1,94.35,3921.3,0,2.1941860465116276,8.274178510459615
2848-YXSMW,72,1,2,3,19.4,1363.25,0,0.26944444444444443,7.217626833806171
0486-HECZI,55,1,0,0,96.75,5238.9,1,1.759090909090909,8.56386683161391
4549-ZDQYY,52,1,1,3,57.95,3042.25,0,1.114423076923077,8.020352652216909
5712-AHQNN,43,1,0,0,91.65,3954.1,0,2.1313953488372093,8.282508294255468
4846-WHAFZ,37,1,0,0,76.5,2868.15,1,2.0675675675675675,7.961422501607078
5256-SKJGO,64,0,2,0,54.6,3423.5,0,0.853125,8.138418698561118
3071-VBYPO,3,1,0,0,89.85,248.4,0,29.95,5.515040350059324
9560-BBZXK,36,0,2,2,31.05,1126.35,0,0.8625,7.026737595214002
5299-RULOA,10,1,0,0,100.25,1064.65,1,10.025,6.970401385632408
8402-OOOHJ,41,1,2,1,20.65,835.15,0,0.5036585365853659,6.727611349435956
9445-ZUEQE,27,1,0,3,85.2,2151.6,0,3.1555555555555554,7.673967030399088
1091-SOZGA,56,1,1,3,99.8,5515.45,0,1.782142857142857,8.61530852400709
2928-HLDBA,6,1,0,1,20.7,112.75,0,3.4499999999999997,4.725172978382788
0404-SWRVG,3,1,0,0,74.4,229.55,1,24.8,5.436120870695231
6497-TILVL,7,1,0,1,50.7,350.35,0,7.242857142857143,5.858932654816543
7219-TLZHO,4,1,0,1,20.85,62.9,0,5.2125,4.141546163706395
4622-YNKIJ,33,1,2,0,88.95,3027.65,0,2.6954545454545453,8.015542020029786
4412-YLTKF,27,1,0,0,78.05,2135.5,1,2.890740740740741,7.666456090281521
6734-PSBAW,72,1,2,2,23.55,1723.95,0,0.32708333333333334,7.452373448482877
3930-ZGWVE,1,1,0,1,19.75,19.75,0,19.75,2.9831534913471307
2639-UGMAZ,71,0,1,0,56.45,3985.35,0,0.7950704225352113,8.290380416727643
2876-GZYZC,13,1,0,0,85.95,1215.65,0,6.611538461538462,7.103034192148042
6207-WIOLX,25,0,0,3,58.6,1502.65,1,2.344,7.314985495036968
8587-XYZSF,67,1,2,2,50.55,3260.1,0,0.7544776119402985,8.089513148736916
3091-FYHKI,1,0,0,0,35.45,35.45,1,35.45,3.5681232529781366
2372-HWUHI,2,1,0,0,44.35,81.25,1,22.175,4.3975308212098465
7799-LGRDP,43,1,2,3,25.7,1188.2,0,0.5976744186046511,7.080194835921641
7850-VWJUU,23,1,0,2,75.0,1778.5,0,3.260869565217391,7.48352559138851
3774-VBNXY,64,1,2,1,20.2,1277.75,0,0.315625,7.1528559976483885
6217-KDYWC,57,1,2,1,19.6,1170.55,0,0.34385964912280703,7.065229002806327
0390-DCFDQ,1,1,0,1,70.45,70.45,1,70.45,4.254903238344689
3146-MSEGF,72,1,2,3,88.05,6425.65,0,1.2229166666666667,8.768053071961528
4080-OGPJL,8,1,0,0,71.15,563.65,1,8.89375,6.3344334914905405
1095-WGNGG,61,1,2,2,101.05,5971.25,0,1.6565573770491804,8.694711564704171
2636-SJDOU,64,1,1,3,84.3,5289.05,0,1.3171875,8.573393924604202
1131-QQZEB,71,1,2,2,23.95,1756.2,0,0.3373239436619718,7.470907662925895
5716-EZXZN,65,1,2,3,99.05,6416.7,0,1.5238461538461539,8.766659245839522
6837-BJYDQ,3,1,1,1,19.6,61.35,0,6.533333333333334,4.116595171156921
2135-RXIHG,1,1,0,0,45.65,45.65,1,45.65,3.8210036070409776
6440-DKQGE,30,1,1,3,64.5,1929.95,0,2.15,7.565249374827594
3466-BYAVD,15,1,0,1,69.5,1071.4,0,4.633333333333334,6.97672148344686
